"Date (UTC)","Timestamp (UTC)",">88k","86-88k","84-86k","82-84k","80-82k","78-80k","<78k"
"02-28-2025 19:00","1740769205","0.335","0.18","0.18","0.225","0.24","0.175","0.315"
"02-28-2025 20:00","1740772805","0.285","0.125","0.145","0.135","0.105","0.075","0.175"
"02-28-2025 21:00","1740776405","0.255","0.14","0.15","0.14","0.105","0.085","0.175"
"02-28-2025 22:00","1740780004","0.265","0.13","0.15","0.14","0.105","0.075","0.175"
"02-28-2025 23:00","1740783605","0.255","0.135","0.155","0.145","0.11","0.085","0.175"
"03-01-2025 00:00","1740787205","0.26","0.14","0.155","0.145","0.11","0.075","0.165"
"03-01-2025 01:00","1740790805","0.235","0.135","0.155","0.145","0.115","0.085","0.185"
"03-01-2025 02:00","1740794405","0.275","0.14","0.155","0.145","0.11","0.075","0.145"
"03-01-2025 03:00","1740798005","0.31","0.14","0.155","0.14","0.1","0.07","0.14"
"03-01-2025 04:00","1740801604","0.315","0.14","0.155","0.14","0.1","0.07","0.14"
"03-01-2025 05:00","1740805205","0.375","0.14","0.15","0.11","0.095","0.065","0.115"
"03-01-2025 06:00","1740808805","0.335","0.14","0.155","0.115","0.1","0.065","0.125"
"03-01-2025 07:00","1740812405","0.3","0.145","0.155","0.115","0.1","0.07","0.145"
"03-01-2025 08:00","1740816005","0.295","0.145","0.155","0.12","0.1","0.075","0.15"
"03-01-2025 09:00","1740819605","0.315","0.15","0.155","0.115","0.105","0.07","0.13"
"03-01-2025 10:00","1740823205","0.325","0.14","0.15","0.12","0.105","0.075","0.12"
"03-01-2025 11:00","1740826805","0.295","0.135","0.15","0.12","0.1","0.055","0.19"
"03-01-2025 12:00","1740830405","0.275","0.135","0.15","0.125","0.1","0.055","0.195"
"03-01-2025 13:00","1740834005","0.285","0.13","0.15","0.125","0.1","0.055","0.19"
"03-01-2025 14:00","1740837605","0.265","0.13","0.13","0.115","0.11","0.075","0.215"
"03-01-2025 15:00","1740841205","0.275","0.115","0.125","0.115","0.11","0.065","0.215"
"03-01-2025 16:00","1740844805","0.285","0.13","0.13","0.115","0.1","0.07","0.215"
"03-01-2025 17:00","1740848405","0.31","0.13","0.13","0.12","0.085","0.06","0.145"
"03-01-2025 18:00","1740852005","0.315","0.13","0.13","0.12","0.085","0.055","0.135"
"03-01-2025 19:00","1740855605","0.315","0.13","0.14","0.12","0.09","0.055","0.135"
"03-01-2025 20:00","1740859204","0.33","0.14","0.14","0.12","0.09","0.055","0.12"
"03-01-2025 21:00","1740862805","0.33","0.14","0.14","0.12","0.09","0.055","0.115"
"03-01-2025 22:00","1740866405","0.37","0.14","0.15","0.13","0.095","0.065","0.1"
"03-01-2025 23:00","1740870005","0.375","0.145","0.145","0.125","0.085","0.065","0.095"
"03-02-2025 00:00","1740873605","0.37","0.15","0.155","0.13","0.085","0.07","0.095"
"03-02-2025 01:00","1740877205","0.355","0.145","0.135","0.115","0.085","0.065","0.09"
"03-02-2025 02:00","1740880804","0.375","0.145","0.135","0.12","0.085","0.065","0.09"
"03-02-2025 03:00","1740884405","0.345","0.145","0.135","0.12","0.085","0.07","0.095"
"03-02-2025 04:00","1740888004","0.345","0.145","0.135","0.13","0.085","0.07","0.095"
"03-02-2025 05:00","1740891604","0.335","0.145","0.135","0.13","0.085","0.07","0.105"
"03-02-2025 06:00","1740895204","0.355","0.145","0.135","0.13","0.085","0.07","0.105"
"03-02-2025 07:00","1740898805","0.375","0.145","0.135","0.125","0.085","0.065","0.095"
"03-02-2025 08:00","1740902405","0.37","0.16","0.14","0.13","0.085","0.065","0.09"
"03-02-2025 09:00","1740906004","0.335","0.16","0.14","0.13","0.085","0.07","0.11"
"03-02-2025 10:00","1740909605","0.35","0.16","0.14","0.13","0.085","0.07","0.11"
"03-02-2025 11:00","1740913205","0.355","0.16","0.15","0.13","0.08","0.07","0.11"
"03-02-2025 12:00","1740916805","0.36","0.16","0.14","0.13","0.08","0.065","0.1"
"03-02-2025 13:00","1740920405","0.355","0.16","0.15","0.13","0.08","0.065","0.105"
"03-02-2025 14:00","1740924005","0.35","0.16","0.145","0.13","0.075","0.065","0.12"
"03-02-2025 15:00","1740927605","0.315","0.16","0.145","0.125","0.085","0.06","0.125"
"03-02-2025 16:00","1740931205","0.48","0.135","0.115","0.09","0.05","0.0245","0.085"
"03-02-2025 17:00","1740934805","0.685","0.105","0.055","0.0355","0.0255","0.0135","0.045"
"03-02-2025 18:00","1740938405","0.775","0.07","0.0335","0.037","0.0135","0.0155","0.037"
"03-02-2025 19:00","1740942005","0.755","0.07","0.0385","0.0325","0.0165","0.0235","0.0355"
"03-02-2025 20:00","1740945605","0.79","0.07","0.0305","0.0325","0.016","0.014","0.032"
"03-02-2025 21:00","1740949205","0.825","0.065","0.028","0.0265","0.0205","0.0205","0.0255"
"03-02-2025 22:00","1740952805","0.82","0.065","0.031","0.0265","0.0265","0.0215","0.034"
"03-02-2025 23:00","1740956404","0.825","0.06","0.0285","0.0255","0.021","0.017","0.0335"
"03-03-2025 00:00","1740960005","0.83","0.06","0.026","0.019","0.0145","0.025","0.016"
"03-03-2025 01:00","1740963605","0.81","0.06","0.031","0.0215","0.0125","0.0135","0.0255"
"03-03-2025 02:00","1740967204","0.795","0.07","0.0315","0.0195","0.0145","0.012","0.024"
"03-03-2025 03:00","1740970805","0.815","0.07","0.0335","0.022","0.0215","0.0125","0.021"
"03-03-2025 04:00","1740974404","0.8","0.08","0.05","0.029","0.0255","0.013","0.0205"
"03-03-2025 05:00","1740978005","0.805","0.08","0.0505","0.0295","0.015","0.014","0.024"
