"Date (UTC)","Timestamp (UTC)",">88k","86-88k","84-86k","82-84k","80-82k","78-80k","<78k"
"03-21-2025 16:00","1742572805","0.25","0.535","0.545","0.545","0.535","0.5","0.11"
"03-21-2025 17:00","1742576406","0.21","0.13","0.165","0.175","0.145","0.11","0.105"
"03-21-2025 18:00","1742580006","0.2","0.14","0.185","0.18","0.14","0.105","0.115"
"03-21-2025 19:00","1742583606","0.2","0.14","0.18","0.18","0.13","0.095","0.11"
"03-21-2025 20:00","1742587205","0.19","0.135","0.175","0.17","0.135","0.1","0.11"
"03-21-2025 21:00","1742590805","0.2","0.15","0.19","0.17","0.14","0.1","0.105"
"03-21-2025 22:00","1742594405","0.22","0.14","0.18","0.165","0.14","0.075","0.11"
"03-21-2025 23:00","1742598005","0.2","0.14","0.18","0.165","0.145","0.08","0.105"
"03-22-2025 00:00","1742601606","0.195","0.145","0.18","0.165","0.145","0.08","0.11"
"03-22-2025 01:00","1742605205","0.195","0.135","0.18","0.165","0.145","0.085","0.11"
"03-22-2025 02:00","1742608805","0.2","0.135","0.185","0.165","0.14","0.095","0.105"
"03-22-2025 03:00","1742612405","0.205","0.135","0.185","0.165","0.14","0.095","0.11"
"03-22-2025 04:00","1742616005","0.205","0.135","0.185","0.165","0.14","0.095","0.105"
"03-22-2025 05:00","1742619605","0.205","0.135","0.185","0.165","0.145","0.09","0.105"
"03-22-2025 06:00","1742623204","0.21","0.135","0.185","0.165","0.14","0.085","0.105"
"03-22-2025 07:00","1742626805","0.21","0.135","0.185","0.165","0.14","0.08","0.11"
"03-22-2025 08:00","1742630405","0.205","0.14","0.185","0.165","0.14","0.08","0.115"
"03-22-2025 09:00","1742634005","0.2","0.14","0.185","0.165","0.14","0.08","0.115"
"03-22-2025 10:00","1742637605","0.215","0.145","0.185","0.165","0.135","0.085","0.105"
"03-22-2025 11:00","1742641205","0.21","0.145","0.185","0.165","0.14","0.085","0.105"
"03-22-2025 12:00","1742644805","0.205","0.145","0.185","0.165","0.135","0.085","0.115"
"03-22-2025 13:00","1742648405","0.205","0.145","0.185","0.165","0.135","0.085","0.115"
"03-22-2025 14:00","1742652005","0.195","0.145","0.185","0.165","0.14","0.085","0.115"
"03-22-2025 15:00","1742655605","0.195","0.145","0.185","0.175","0.135","0.085","0.115"
"03-22-2025 16:00","1742659205","0.195","0.145","0.18","0.175","0.14","0.085","0.105"
"03-22-2025 17:00","1742662804","0.195","0.145","0.185","0.175","0.14","0.085","0.105"
"03-22-2025 18:00","1742666406","0.195","0.145","0.185","0.185","0.135","0.085","0.105"
"03-22-2025 19:00","1742670005","0.195","0.155","0.185","0.175","0.145","0.085","0.095"
"03-22-2025 20:00","1742673604","0.195","0.155","0.185","0.175","0.145","0.085","0.095"
"03-22-2025 21:00","1742677205","0.195","0.145","0.185","0.175","0.145","0.085","0.105"
"03-22-2025 22:00","1742680806","0.195","0.15","0.18","0.175","0.145","0.085","0.105"
"03-22-2025 23:00","1742684405","0.19","0.15","0.18","0.175","0.145","0.085","0.105"
"03-23-2025 00:00","1742688006","0.175","0.145","0.175","0.18","0.145","0.085","0.11"
"03-23-2025 01:00","1742691605","0.175","0.145","0.175","0.175","0.145","0.085","0.115"
"03-23-2025 02:00","1742695204","0.185","0.145","0.175","0.185","0.15","0.085","0.105"
"03-23-2025 03:00","1742698805","0.19","0.145","0.18","0.185","0.145","0.085","0.1"
"03-23-2025 04:00","1742702404","0.185","0.145","0.185","0.185","0.145","0.085","0.1"
"03-23-2025 05:00","1742706004","0.185","0.145","0.185","0.185","0.145","0.085","0.1"
